YEAR,M1,M5,EV,INPB
1960,16.37304238,154.7597938,53.38715874,8083.346884
1961,15.81229298,153.6737374,53.9388024,8929.151274
1962,15.44698396,153.2683168,54.32974296,9286.451217
1963,15.16453369,151.9155963,54.70383362,10358.59466
1964,14.86188842,151.1104348,55.19139871,12470.95589
1965,14.57123057,146.3606838,55.67372031,14175.39906
1966,14.24483814,145.3848739,56.13577396,12852.48572
1967,14.01690675,141.796748,56.55752226,13874.21659
1968,13.80730903,137.1551181,56.95031587,16138.31478
1969,13.60235606,134.669403,57.33129438,17817.94078
1970,13.27200376,131.0072993,57.80572213,19254.62641
1971,13.05742384,126.3570423,58.14242395,21008.96143
1972,12.84416656,124.4731034,58.5382682,22604.41378
1973,12.6563377,121.202069,58.98009247,25641.51586
1974,12.47177988,117.3832215,59.30271705,34148.86671
1975,12.30843471,114.7116883,59.67366406,38194.93909
1976,12.1108429,111.3634615,60.0535138,45374.75939
1977,11.87101642,109.2012658,60.44053113,47793.04977
1978,11.68232407,106.8283951,60.87613016,49730.368
1979,11.46155325,102.4587879,61.18753808,56620.482
1980,11.32859622,98.99940476,61.62154165,62312.98071
1981,11.05737963,93.59655172,61.98767985,69051.46949
1982,10.83326472,91.96610169,62.454339,76038.0879
1983,10.69346197,88.6,62.74810667,82951.41416
1984,10.50154352,84.89016393,63.09719876,92536.9738
1985,10.39722431,81.9373057,63.41666499,97221.50391
1986,10.1975828,79.70362694,63.80551536,101437.08
1987,10.03897018,77.6119171,64.154772,106790.7158
1988,10.00545723,75.80259067,64.31130184,118027.9836
1989,9.905703123,73.85336788,64.52644379,133661.5553
1990,9.808627939,75.25474697,64.73373926,147229.0249
1991,9.793925002,73.76005364,64.95461373,168032.7506
1992,9.720742392,72.35696361,65.08317631,194090.938
1993,9.73024092,71.02320929,65.13327405,214987.4908
1994,9.660344083,70.03135768,65.39141028,244494.0385
1995,9.600538252,68.31478755,65.53410686,289380.9582
1996,9.488102861,66.45237321,65.74592089,325242.1419
1997,9.398925622,64.8888157,66.05305068,357130.4343
1998,9.296510401,63.26010961,66.20956908,380378.6576
1999,9.222931272,61.0929803,66.4375864,421107.7474
2000,9.12905718,59.01176941,66.77627473,464544.6302
2001,9.02313694,56.83695251,67.06697529,481331.7556
2002,8.98081409,54.62976505,67.41630792,530753.3363
2003,8.912988963,52.46744569,67.6045884,571119.4359
2004,8.746721289,50.46602686,67.97998791,657146.6193
2005,8.648503004,48.28596008,68.28276608,752541.542
2006,8.485598784,46.28398052,68.67481039,863756.5929
2007,8.401371817,44.37224833,69.05325304,1002244.446
2008,8.277127204,42.6465319,69.43021441,1182169.009
2009,8.149410873,40.77105751,69.82463443,1194276.945
2010,8.053891775,39.66822892,70.1931024,1382509.832
2011,7.948714539,37.50979516,70.56785725,1596314.18
2012,7.885251001,36.07312296,70.97395991,1760665.609
2013,7.803108144,34.7480468,71.24012826,2028079.627
2014,7.714415268,33.54151089,71.56804186,2207379.405
2015,7.701317277,32.42386587,71.80831503,2252359.391
2016,7.649146105,31.35679924,72.09048705,2456150.647
2017,7.648023398,30.32242364,72.32120285,2768713.924
